camera_id,scene_type,baseline_density,simulated_density,density_change_pct,baseline_vehicle_count,simulated_vehicle_count,baseline_near_miss_risk,simulated_near_miss_risk,risk_reduction_pct,baseline_delay_cost_usd,simulated_delay_cost_usd,delay_cost_change_usd,scenario
CAM_AERIAL_01,aerial,1.6287,1.5961,-2.0,221,221,0,0,0.1,0.0,0.0,0.0,protected_bike_lane
CAM_AERIAL_02,aerial,0.5,0.49,-2.0,0,0,0,0,0.1,0.0,0.0,0.0,protected_bike_lane
CAM_AERIAL_03,aerial,1.1076,1.0854,-2.0,86,86,0,0,0.1,0.0,0.0,0.0,protected_bike_lane
CAM_AERIAL_04,aerial,1.9324,1.8938,-2.0,397,397,0,0,0.1,0.0,0.0,0.0,protected_bike_lane
CAM_BATCH_COMPOSITE_01,composite,10.2844,10.0787,-2.0,6723,6723,61,55,0.1,6238.8,10084.5,3845.7,protected_bike_lane
CAM_BRIDGE_01,highway,2.3615,2.3615,0.0,0,0,0,0,0.0,0.0,0.0,0.0,protected_bike_lane
CAM_CITY_NIGHT_01,night_city,3.1261,3.0636,-2.0,318,318,1,1,0.1,0.0,0.0,0.0,protected_bike_lane
CAM_CITY_NIGHT_02,night_city,0.51,0.4998,-2.0,0,0,0,0,0.1,0.0,0.0,0.0,protected_bike_lane
CAM_CITY_STREET_01,city_street,8.2149,8.4613,3.0,869,843,7,5,0.25,521.4,505.8,-15.6,protected_bike_lane
CAM_CITY_STREET_02,city_street,17.83,18.3649,3.0,2152,2087,37,28,0.25,3228.0,3130.5,-97.5,protected_bike_lane
CAM_CITY_STREET_03,city_street,20.4966,21.1115,3.0,2793,2709,9,7,0.25,8379.0,8127.0,-252.0,protected_bike_lane
CAM_CITY_STREET_04,city_street,0.0,0.0,3.0,0,0,0,0,0.25,0.0,0.0,0.0,protected_bike_lane
CAM_CITY_STREET_05,city_street,1.0,1.03,3.0,0,0,0,0,0.25,0.0,0.0,0.0,protected_bike_lane
CAM_CITY_STREET_06,city_street,1.1086,1.1419,3.0,1,1,0,0,0.25,0.0,0.0,0.0,protected_bike_lane
CAM_CITY_STREET_07,city_street,1.0314,1.0623,3.0,0,0,0,0,0.25,0.0,0.0,0.0,protected_bike_lane
CAM_DASHCAM_01,dashcam,1.0,0.98,-2.0,10,10,0,0,0.1,0.0,0.0,0.0,protected_bike_lane
CAM_DASHCAM_02,dashcam,2.7829,2.7272,-2.0,462,462,6,5,0.1,0.0,0.0,0.0,protected_bike_lane
CAM_HIGHWAY_01,highway,1.4028,1.4028,0.0,101,101,0,0,0.0,0.0,0.0,0.0,protected_bike_lane
CAM_HIGHWAY_02,highway,6.3707,6.3707,0.0,936,936,0,0,0.0,561.6,561.6,0.0,protected_bike_lane
CAM_HIGHWAY_03,highway,16.9091,16.9091,0.0,3904,3904,0,0,0.0,5856.0,5856.0,0.0,protected_bike_lane
CAM_HIGHWAY_04,highway,1.1818,1.1818,0.0,0,0,0,0,0.0,0.0,0.0,0.0,protected_bike_lane
CAM_HIGHWAY_05,highway,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,protected_bike_lane
CAM_HIGHWAY_06,highway,0.6,0.6,0.0,1,1,0,0,0.0,0.0,0.0,0.0,protected_bike_lane
CAM_INTERSECTION_01,intersection,7.4888,7.7135,3.0,2960,2871,0,0,0.25,1776.0,1722.6,-53.4,protected_bike_lane
CAM_INTERSECTION_02,intersection,1.3438,1.3841,3.0,86,83,0,0,0.25,0.0,0.0,0.0,protected_bike_lane
CAM_INTERSECTION_03,intersection,8.9545,9.2231,3.0,748,726,21,16,0.25,448.8,435.6,-13.2,protected_bike_lane
CAM_INTERSECTION_04,intersection,1.0,1.03,3.0,1,1,0,0,0.25,0.0,0.0,0.0,protected_bike_lane
CAM_INTERSECTION_05,intersection,0.0,0.0,3.0,0,0,0,0,0.25,0.0,0.0,0.0,protected_bike_lane
CAM_ROUNDABOUT_01,intersection,0.5,0.515,3.0,0,0,0,0,0.25,0.0,0.0,0.0,protected_bike_lane
CAM_TUNNEL_01,tunnel,1.88,1.8424,-2.0,235,235,0,0,0.1,0.0,0.0,0.0,protected_bike_lane
