camera_id,video_id,scene_type,road_type,minute,vehicle_count,pedestrian_count,traffic_density,congestion_level,temperature_f,precipitation_flag,visibility_miles,weather_condition,event_nearby_flag,event_type,estimated_event_attendance,distance_to_event_miles
CAM_AERIAL_01,mixkit_2034,aerial,aerial_corridor,0,221,1,1.6287,Low,50.0,0,7.79,clear,0,none,0,10.42
CAM_AERIAL_02,mixkit_11,aerial,aerial_corridor,0,0,10,0.5,Low,69.3,1,1.57,rain,0,none,0,10.32
CAM_AERIAL_03,mixkit_49845,aerial,aerial_corridor,0,86,3,1.1076,Low,94.5,1,1.65,rain,0,none,0,4.64
CAM_AERIAL_04,mixkit_49846,aerial,aerial_corridor,0,397,6,1.9324,Low,53.7,0,7.22,cloudy,0,none,0,7.17
CAM_BATCH_COMPOSITE_01,sample_traffic,composite,mixed_corridor,0,4273,2301,7.8944,Medium,63.9,0,7.35,cloudy,1,sports,51456,1.7
CAM_BATCH_COMPOSITE_01,sample_traffic,composite,mixed_corridor,1,2450,4403,12.6744,High,26.4,0,7.21,clear,0,none,0,9.5
CAM_BRIDGE_01,mixkit_4523,highway,highway,0,0,921,2.3615,Low,50.8,0,10.61,cloudy,0,none,0,6.01
CAM_CITY_NIGHT_01,mixkit_4331,night_city,urban_arterial,0,318,752,3.1261,Low,49.3,0,10.8,clear,1,sports,32012,0.61
CAM_CITY_NIGHT_02,mixkit_4739,night_city,urban_arterial,0,0,255,0.51,Low,45.9,0,7.44,cloudy,0,none,0,6.79
CAM_CITY_STREET_01,mixkit_100,city_street,urban_arterial,0,869,20,8.2149,Medium,23.0,0,10.8,clear,1,concert,15401,1.78
CAM_CITY_STREET_02,mixkit_4000,city_street,urban_arterial,0,2152,2828,17.83,High,79.3,0,6.57,cloudy,1,campus_event,6054,1.09
CAM_CITY_STREET_03,mixkit_4251,city_street,urban_arterial,0,2793,276,20.4966,Severe,47.7,0,7.09,cloudy,0,none,0,7.84
CAM_CITY_STREET_05,mixkit_3180,city_street,urban_arterial,0,0,326,1.0,Low,40.1,0,9.35,clear,0,none,0,10.31
CAM_CITY_STREET_06,mixkit_4719,city_street,urban_arterial,0,1,457,1.1086,Low,33.0,1,4.05,snow,0,none,0,4.03
CAM_CITY_STREET_07,mixkit_29955,city_street,urban_arterial,0,0,295,1.0314,Low,52.0,0,5.72,clear,0,none,0,7.56
CAM_DASHCAM_01,mixkit_42037,dashcam,local_street,0,10,0,1.0,Low,69.7,1,0.87,rain,0,none,0,8.05
CAM_DASHCAM_02,mixkit_42039,dashcam,local_street,0,462,50,2.7829,Low,33.0,0,0.5,fog,0,none,0,4.98
CAM_HIGHWAY_01,mixkit_3418,highway,highway,0,101,0,1.4028,Low,86.8,0,11.27,cloudy,0,none,0,10.41
CAM_HIGHWAY_02,mixkit_42368,highway,highway,0,936,1,6.3707,Medium,81.3,0,8.61,clear,0,none,0,11.84
CAM_HIGHWAY_03,mixkit_28793,highway,highway,0,3904,4,16.9091,High,41.3,0,9.48,cloudy,0,none,0,5.66
CAM_HIGHWAY_04,mixkit_2744,highway,highway,0,0,312,1.1818,Low,63.1,0,8.52,clear,0,none,0,11.89
CAM_HIGHWAY_06,mixkit_2995,highway,highway,0,1,4,0.6,Low,23.1,0,8.99,cloudy,0,none,0,5.4
CAM_INTERSECTION_01,mixkit_57,intersection,signalized_intersection,0,2960,71,7.4888,Medium,70.3,0,9.59,cloudy,1,campus_event,10621,0.13
CAM_INTERSECTION_02,mixkit_127,intersection,signalized_intersection,0,86,0,1.3438,Low,63.1,1,3.12,rain,1,sports,42459,0.6
CAM_INTERSECTION_03,mixkit_4401,intersection,signalized_intersection,0,748,3823,8.9545,Medium,39.8,0,7.34,cloudy,0,none,0,7.13
CAM_INTERSECTION_04,mixkit_40917,intersection,signalized_intersection,0,1,0,1.0,Low,48.1,0,8.56,clear,0,none,0,5.86
CAM_ROUNDABOUT_01,mixkit_44389,intersection,signalized_intersection,0,0,3,0.5,Low,79.3,0,0.61,fog,1,concert,16293,1.93
CAM_TUNNEL_01,mixkit_2026,tunnel,tunnel,0,235,0,1.88,Low,52.4,0,10.26,cloudy,1,concert,3640,1.03
