camera_id,video_id,minute,sampled_frame_count,vehicle_count,pedestrian_count,avg_vehicles_per_frame,avg_pedestrians_per_frame,traffic_density,congestion_level
CAM_AERIAL_01,mixkit_2034,0,136,221,1,1.625,0.0074,1.6287,Low
CAM_AERIAL_02,mixkit_11,0,10,0,10,0.0,1.0,0.5,Low
CAM_AERIAL_03,mixkit_49845,0,79,86,3,1.0886,0.038,1.1076,Low
CAM_AERIAL_04,mixkit_49846,0,207,397,6,1.9179,0.029,1.9324,Low
CAM_BATCH_COMPOSITE_01,sample_traffic,0,687,4273,2301,6.2198,3.3493,7.8944,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,1,367,2450,4403,6.6757,11.9973,12.6744,High
CAM_BRIDGE_01,mixkit_4523,0,195,0,921,0.0,4.7231,2.3615,Low
CAM_CITY_NIGHT_01,mixkit_4331,0,222,318,752,1.4324,3.3874,3.1261,Low
CAM_CITY_NIGHT_02,mixkit_4739,0,250,0,255,0.0,1.02,0.51,Low
CAM_CITY_STREET_01,mixkit_100,0,107,869,20,8.1215,0.1869,8.2149,Medium
CAM_CITY_STREET_02,mixkit_4000,0,200,2152,2828,10.76,14.14,17.83,High
CAM_CITY_STREET_03,mixkit_4251,0,143,2793,276,19.5315,1.9301,20.4966,Severe
CAM_CITY_STREET_05,mixkit_3180,0,163,0,326,0.0,2.0,1.0,Low
CAM_CITY_STREET_06,mixkit_4719,0,207,1,457,0.0048,2.2077,1.1086,Low
CAM_CITY_STREET_07,mixkit_29955,0,143,0,295,0.0,2.0629,1.0314,Low
CAM_DASHCAM_01,mixkit_42037,0,10,10,0,1.0,0.0,1.0,Low
CAM_DASHCAM_02,mixkit_42039,0,175,462,50,2.64,0.2857,2.7829,Low
CAM_HIGHWAY_01,mixkit_3418,0,72,101,0,1.4028,0.0,1.4028,Low
CAM_HIGHWAY_02,mixkit_42368,0,147,936,1,6.3673,0.0068,6.3707,Medium
CAM_HIGHWAY_03,mixkit_28793,0,231,3904,4,16.9004,0.0173,16.9091,High
CAM_HIGHWAY_04,mixkit_2744,0,132,0,312,0.0,2.3636,1.1818,Low
CAM_HIGHWAY_06,mixkit_2995,0,5,1,4,0.2,0.8,0.6,Low
CAM_INTERSECTION_01,mixkit_57,0,400,2960,71,7.4,0.1775,7.4888,Medium
CAM_INTERSECTION_02,mixkit_127,0,64,86,0,1.3438,0.0,1.3438,Low
CAM_INTERSECTION_03,mixkit_4401,0,297,748,3823,2.5185,12.8721,8.9545,Medium
CAM_INTERSECTION_04,mixkit_40917,0,1,1,0,1.0,0.0,1.0,Low
CAM_ROUNDABOUT_01,mixkit_44389,0,3,0,3,0.0,1.0,0.5,Low
CAM_TUNNEL_01,mixkit_2026,0,125,235,0,1.88,0.0,1.88,Low
