camera_id,video_id,minute,congestion_level,vehicle_count,traffic_density,delay_minutes_per_vehicle,total_delay_minutes,total_delay_hours,estimated_delay_cost_usd
CAM_AERIAL_01,mixkit_2034,0,Low,221,1.6287,0.0,0.0,0.0,0.0
CAM_AERIAL_02,mixkit_11,0,Low,0,0.5,0.0,0.0,0.0,0.0
CAM_AERIAL_03,mixkit_49845,0,Low,86,1.1076,0.0,0.0,0.0,0.0
CAM_AERIAL_04,mixkit_49846,0,Low,397,1.9324,0.0,0.0,0.0,0.0
CAM_BATCH_COMPOSITE_01,sample_traffic,0,Medium,4273,7.8944,2.0,8546.0,142.4333,2563.8
CAM_BATCH_COMPOSITE_01,sample_traffic,1,High,2450,12.6744,5.0,12250.0,204.1667,3675.0
CAM_BRIDGE_01,mixkit_4523,0,Low,0,2.3615,0.0,0.0,0.0,0.0
CAM_CITY_NIGHT_01,mixkit_4331,0,Low,318,3.1261,0.0,0.0,0.0,0.0
CAM_CITY_NIGHT_02,mixkit_4739,0,Low,0,0.51,0.0,0.0,0.0,0.0
CAM_CITY_STREET_01,mixkit_100,0,Medium,869,8.2149,2.0,1738.0,28.9667,521.4
CAM_CITY_STREET_02,mixkit_4000,0,High,2152,17.83,5.0,10760.0,179.3333,3228.0
CAM_CITY_STREET_03,mixkit_4251,0,Severe,2793,20.4966,10.0,27930.0,465.5,8379.0
CAM_CITY_STREET_05,mixkit_3180,0,Low,0,1.0,0.0,0.0,0.0,0.0
CAM_CITY_STREET_06,mixkit_4719,0,Low,1,1.1086,0.0,0.0,0.0,0.0
CAM_CITY_STREET_07,mixkit_29955,0,Low,0,1.0314,0.0,0.0,0.0,0.0
CAM_DASHCAM_01,mixkit_42037,0,Low,10,1.0,0.0,0.0,0.0,0.0
CAM_DASHCAM_02,mixkit_42039,0,Low,462,2.7829,0.0,0.0,0.0,0.0
CAM_HIGHWAY_01,mixkit_3418,0,Low,101,1.4028,0.0,0.0,0.0,0.0
CAM_HIGHWAY_02,mixkit_42368,0,Medium,936,6.3707,2.0,1872.0,31.2,561.6
CAM_HIGHWAY_03,mixkit_28793,0,High,3904,16.9091,5.0,19520.0,325.3333,5856.0
CAM_HIGHWAY_04,mixkit_2744,0,Low,0,1.1818,0.0,0.0,0.0,0.0
CAM_HIGHWAY_06,mixkit_2995,0,Low,1,0.6,0.0,0.0,0.0,0.0
CAM_INTERSECTION_01,mixkit_57,0,Medium,2960,7.4888,2.0,5920.0,98.6667,1776.0
CAM_INTERSECTION_02,mixkit_127,0,Low,86,1.3438,0.0,0.0,0.0,0.0
CAM_INTERSECTION_03,mixkit_4401,0,Medium,748,8.9545,2.0,1496.0,24.9333,448.8
CAM_INTERSECTION_04,mixkit_40917,0,Low,1,1.0,0.0,0.0,0.0,0.0
CAM_ROUNDABOUT_01,mixkit_44389,0,Low,0,0.5,0.0,0.0,0.0,0.0
CAM_TUNNEL_01,mixkit_2026,0,Low,235,1.88,0.0,0.0,0.0,0.0
