camera_id,total_vehicle_count,total_delay_minutes,total_delay_hours,estimated_delay_cost_usd,avg_delay_cost_per_vehicle
CAM_AERIAL_01,221,0.0,0.0,0.0,0.0
CAM_AERIAL_02,0,0.0,0.0,0.0,0.0
CAM_AERIAL_03,86,0.0,0.0,0.0,0.0
CAM_AERIAL_04,397,0.0,0.0,0.0,0.0
CAM_BATCH_COMPOSITE_01,6723,20796.0,346.6,6238.8,0.928
CAM_BRIDGE_01,0,0.0,0.0,0.0,0.0
CAM_CITY_NIGHT_01,318,0.0,0.0,0.0,0.0
CAM_CITY_NIGHT_02,0,0.0,0.0,0.0,0.0
CAM_CITY_STREET_01,869,1738.0,28.9667,521.4,0.6
CAM_CITY_STREET_02,2152,10760.0,179.3333,3228.0,1.5
CAM_CITY_STREET_03,2793,27930.0,465.5,8379.0,3.0
CAM_CITY_STREET_05,0,0.0,0.0,0.0,0.0
CAM_CITY_STREET_06,1,0.0,0.0,0.0,0.0
CAM_CITY_STREET_07,0,0.0,0.0,0.0,0.0
CAM_DASHCAM_01,10,0.0,0.0,0.0,0.0
CAM_DASHCAM_02,462,0.0,0.0,0.0,0.0
CAM_HIGHWAY_01,101,0.0,0.0,0.0,0.0
CAM_HIGHWAY_02,936,1872.0,31.2,561.6,0.6
CAM_HIGHWAY_03,3904,19520.0,325.3333,5856.0,1.5
CAM_HIGHWAY_04,0,0.0,0.0,0.0,0.0
CAM_HIGHWAY_06,1,0.0,0.0,0.0,0.0
CAM_INTERSECTION_01,2960,5920.0,98.6667,1776.0,0.6
CAM_INTERSECTION_02,86,0.0,0.0,0.0,0.0
CAM_INTERSECTION_03,748,1496.0,24.9333,448.8,0.6
CAM_INTERSECTION_04,1,0.0,0.0,0.0,0.0
CAM_ROUNDABOUT_01,0,0.0,0.0,0.0,0.0
CAM_TUNNEL_01,235,0.0,0.0,0.0,0.0
