camera_id,video_id,timestamp,frame_id,risk_object_type,vehicle_type,risk_confidence,vehicle_confidence,risk_center_x,risk_center_y,vehicle_center_x,vehicle_center_y,distance_pixels,risk_level
CAM_BATCH_COMPOSITE_01,sample_traffic,25.442,610,person,car,0.4204,0.3657,1129.6,153.05,1139.95,196.65,44.81,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,37.204,892,person,car,0.4463,0.5327,37.35,274.3,87.95,254.85,54.21,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,37.287,894,person,car,0.5877,0.5071,35.65,273.9,85.4,267.45,50.17,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,46.964,1126,person,truck,0.6831,0.3767,877.45,294.0,926.25,275.4,52.22,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,48.549,1164,person,motorcycle,0.3903,0.4731,606.0,345.5,606.45,370.8,25.3,High
CAM_BATCH_COMPOSITE_01,sample_traffic,48.549,1164,person,motorcycle,0.4418,0.4731,601.65,340.3,606.45,370.8,30.88,High
CAM_BATCH_COMPOSITE_01,sample_traffic,53.637,1286,person,car,0.4653,0.541,216.8,322.85,199.8,254.9,70.04,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,58.141,1394,person,motorcycle,0.511,0.5268,825.85,546.7,813.6,603.0,57.62,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,63.063,1512,person,car,0.3681,0.7298,422.0,315.75,416.0,252.5,63.53,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,63.063,1512,person,car,0.4837,0.7298,388.25,321.15,416.0,252.5,74.05,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,63.564,1524,person,motorcycle,0.4043,0.5193,664.3,344.4,656.15,354.9,13.29,High
CAM_BATCH_COMPOSITE_01,sample_traffic,65.732,1576,person,car,0.3879,0.3914,500.6,645.45,569.6,642.0,69.09,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,69.319,1662,person,motorcycle,0.694,0.7144,745.35,414.25,740.6,442.3,28.45,High
CAM_BATCH_COMPOSITE_01,sample_traffic,69.57,1668,person,car,0.636,0.3575,243.4,357.85,264.7,284.0,76.86,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,71.071,1704,person,car,0.3564,0.4502,526.7,327.8,540.55,266.8,62.55,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,71.488,1714,person,car,0.4814,0.4628,551.45,325.15,542.3,267.0,58.87,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,71.572,1716,person,car,0.3553,0.5452,506.15,326.2,541.85,265.95,70.03,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,71.822,1722,person,car,0.3519,0.7443,1161.25,308.2,1142.45,231.4,79.07,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,72.573,1740,person,car,0.6008,0.5603,550.45,310.9,542.1,265.25,46.41,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,72.656,1742,person,car,0.489,0.4325,518.95,342.0,539.55,266.5,78.26,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,72.739,1744,person,car,0.388,0.758,936.35,70.15,991.15,124.4,77.11,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,73.824,1770,person,car,0.3582,0.6609,544.5,192.9,542.3,265.25,72.38,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,73.907,1772,person,car,0.3532,0.6568,544.4,192.95,542.25,264.7,71.78,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,73.991,1774,person,car,0.4244,0.7418,1138.15,310.05,1143.9,232.4,77.86,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,73.991,1774,person,car,0.4036,0.8026,946.15,318.05,933.65,241.2,77.86,Medium
CAM_BATCH_COMPOSITE_01,sample_traffic,74.157,1778,person,car,0.3518,0.6824,544.45,193.0,542.15,265.7,72.74,Medium
