camera_id,object_type,count,percentage
CAM_AERIAL_01,car,116,52.25
CAM_AERIAL_01,truck,56,25.23
CAM_AERIAL_01,bus,49,22.07
CAM_AERIAL_01,person,1,0.45
CAM_AERIAL_02,person,10,100.0
CAM_AERIAL_03,car,63,70.79
CAM_AERIAL_03,bus,22,24.72
CAM_AERIAL_03,person,3,3.37
CAM_AERIAL_03,truck,1,1.12
CAM_AERIAL_04,car,370,91.81
CAM_AERIAL_04,bus,25,6.2
CAM_AERIAL_04,person,6,1.49
CAM_AERIAL_04,truck,2,0.5
CAM_BATCH_COMPOSITE_01,person,6704,49.93
CAM_BATCH_COMPOSITE_01,car,5783,43.07
CAM_BATCH_COMPOSITE_01,truck,535,3.98
CAM_BATCH_COMPOSITE_01,bus,349,2.6
CAM_BATCH_COMPOSITE_01,motorcycle,32,0.24
CAM_BATCH_COMPOSITE_01,bicycle,24,0.18
CAM_BRIDGE_01,person,921,100.0
CAM_CITY_NIGHT_01,person,752,70.28
CAM_CITY_NIGHT_01,car,305,28.5
CAM_CITY_NIGHT_01,bicycle,4,0.37
CAM_CITY_NIGHT_01,bus,3,0.28
CAM_CITY_NIGHT_01,motorcycle,3,0.28
CAM_CITY_NIGHT_01,truck,3,0.28
CAM_CITY_NIGHT_02,person,255,100.0
CAM_CITY_STREET_01,car,748,84.14
CAM_CITY_STREET_01,truck,120,13.5
CAM_CITY_STREET_01,person,20,2.25
CAM_CITY_STREET_01,bus,1,0.11
CAM_CITY_STREET_02,person,2828,56.79
CAM_CITY_STREET_02,car,1910,38.35
CAM_CITY_STREET_02,truck,120,2.41
CAM_CITY_STREET_02,bus,101,2.03
CAM_CITY_STREET_02,bicycle,12,0.24
CAM_CITY_STREET_02,motorcycle,9,0.18
CAM_CITY_STREET_03,car,2549,83.06
CAM_CITY_STREET_03,person,276,8.99
CAM_CITY_STREET_03,bus,196,6.39
CAM_CITY_STREET_03,truck,48,1.56
CAM_CITY_STREET_05,person,326,100.0
CAM_CITY_STREET_06,person,457,99.78
CAM_CITY_STREET_06,car,1,0.22
CAM_CITY_STREET_07,person,295,100.0
CAM_DASHCAM_01,car,10,100.0
CAM_DASHCAM_02,car,454,88.67
CAM_DASHCAM_02,person,50,9.77
CAM_DASHCAM_02,truck,6,1.17
CAM_DASHCAM_02,bus,2,0.39
CAM_HIGHWAY_01,car,101,100.0
CAM_HIGHWAY_02,car,833,88.9
CAM_HIGHWAY_02,truck,103,10.99
CAM_HIGHWAY_02,person,1,0.11
CAM_HIGHWAY_03,car,3340,85.47
CAM_HIGHWAY_03,truck,476,12.18
CAM_HIGHWAY_03,bus,88,2.25
CAM_HIGHWAY_03,person,4,0.1
CAM_HIGHWAY_04,person,312,100.0
CAM_HIGHWAY_06,person,4,80.0
CAM_HIGHWAY_06,car,1,20.0
CAM_INTERSECTION_01,car,2616,86.31
CAM_INTERSECTION_01,truck,185,6.1
CAM_INTERSECTION_01,bus,158,5.21
CAM_INTERSECTION_01,person,71,2.34
CAM_INTERSECTION_01,motorcycle,1,0.03
CAM_INTERSECTION_02,car,78,90.7
CAM_INTERSECTION_02,bus,4,4.65
CAM_INTERSECTION_02,truck,3,3.49
CAM_INTERSECTION_02,motorcycle,1,1.16
CAM_INTERSECTION_03,person,3823,83.64
CAM_INTERSECTION_03,car,545,11.92
CAM_INTERSECTION_03,truck,82,1.79
CAM_INTERSECTION_03,bus,77,1.68
CAM_INTERSECTION_03,motorcycle,25,0.55
CAM_INTERSECTION_03,bicycle,19,0.42
CAM_INTERSECTION_04,car,1,100.0
CAM_ROUNDABOUT_01,person,3,100.0
CAM_TUNNEL_01,car,211,89.79
CAM_TUNNEL_01,truck,24,10.21
