timestamp,frame_id,object_type,confidence,x1,y1,x2,y2
0.0,0,car,0.8274,296.8,197.5,418.6,305.3
0.0,0,car,0.7895,348.8,50.5,453.9,136.8
0.0,0,car,0.7876,494.6,147.2,615.8,245.3
0.0,0,car,0.7851,580.3,122.9,696.3,214.7
0.0,0,car,0.6581,467.2,46.3,580.2,137.9
0.0,0,car,0.5656,260.9,277.0,374.0,388.6
0.0,0,car,0.469,256.4,0.6,361.1,60.7
0.0,0,car,0.4305,1085.8,155.5,1188.8,236.0
0.0,0,car,0.3761,373.7,0.0,475.3,61.3
0.417,10,car,0.8216,378.3,72.8,484.8,160.6
0.417,10,car,0.7811,296.4,197.2,419.4,305.2
0.417,10,car,0.7761,494.7,147.5,615.0,245.6
0.417,10,car,0.771,578.7,122.3,696.1,214.7
0.417,10,car,0.689,267.0,2.0,365.2,71.5
0.417,10,car,0.6844,124.5,63.4,227.8,146.9
0.417,10,car,0.5793,462.0,47.4,580.8,136.9
0.417,10,car,0.552,262.3,277.4,373.0,387.8
0.417,10,car,0.2989,1087.8,156.6,1189.4,236.5
0.834,20,car,0.8313,298.1,194.6,419.4,304.7
0.834,20,car,0.8217,377.0,70.6,484.9,160.5
0.834,20,car,0.8064,495.1,149.8,615.8,246.1
0.834,20,car,0.7706,578.5,122.1,697.0,215.8
0.834,20,car,0.7307,184.9,113.0,292.0,202.7
0.834,20,car,0.7214,274.8,4.6,371.7,77.7
0.834,20,car,0.6782,262.4,274.5,373.5,387.6
0.834,20,car,0.6007,463.4,45.9,579.9,137.5
0.834,20,car,0.4241,1085.6,155.4,1189.9,236.3
0.834,20,car,0.4068,1138.1,237.6,1236.9,361.4
0.834,20,car,0.3481,66.9,110.5,179.2,196.1
0.834,20,car,0.2779,372.1,0.4,476.1,64.3
0.834,20,truck,0.2548,1138.2,238.5,1236.5,361.4
1.251,30,car,0.8088,376.8,70.0,485.4,161.0
1.251,30,car,0.7991,495.2,149.4,616.0,246.4
1.251,30,car,0.7655,578.9,122.7,696.3,214.1
1.251,30,car,0.7618,296.5,195.0,419.1,304.0
1.251,30,car,0.7545,278.6,6.0,376.9,82.8
1.251,30,car,0.7449,183.3,112.1,292.2,205.5
1.251,30,car,0.7436,263.6,274.7,373.6,387.2
1.251,30,car,0.6398,463.0,45.9,580.0,137.7
1.251,30,car,0.3621,371.4,0.7,475.9,64.4
1.251,30,car,0.3345,122.4,167.4,253.7,267.3
1.251,30,car,0.3267,1085.1,154.6,1189.8,237.1
1.668,40,car,0.8107,604.1,219.9,732.8,329.5
1.668,40,car,0.8039,531.6,90.9,651.0,186.9
1.668,40,car,0.7981,391.8,78.9,499.6,168.7
1.668,40,car,0.7878,329.0,220.1,458.7,335.3
1.668,40,car,0.7775,387.6,396.3,527.1,516.4
1.668,40,car,0.7587,203.3,132.2,314.3,224.5
1.668,40,car,0.6911,285.6,11.7,385.1,89.1
1.668,40,car,0.6686,810.2,271.5,951.8,382.3
1.668,40,car,0.659,392.5,0.0,494.0,74.7
1.668,40,car,0.4514,1084.9,155.5,1189.7,236.1
1.668,40,car,0.3421,125.5,170.8,246.6,267.2
1.668,40,truck,0.335,811.2,271.4,952.4,381.9
2.085,50,car,0.7448,780.8,359.6,929.4,482.6
2.085,50,car,0.7291,446.3,339.7,578.6,459.1
2.085,50,car,0.6526,462.2,43.2,569.7,123.2
2.085,50,car,0.6077,702.1,193.4,832.8,302.8
2.085,50,car,0.5669,1126.6,490.5,1275.1,606.9
2.085,50,car,0.5554,515.0,532.0,669.6,677.3
2.085,50,car,0.4998,514.3,172.3,643.1,274.8
2.085,50,car,0.4899,1085.0,155.8,1189.4,236.1
2.085,50,truck,0.4055,514.2,532.4,670.3,677.9
2.503,60,car,0.664,478.1,345.7,633.1,480.6
2.503,60,car,0.6589,362.1,58.8,513.2,148.3
2.503,60,car,0.6448,143.8,48.8,237.8,130.9
2.503,60,car,0.5948,1123.4,482.9,1277.8,599.7
2.503,60,car,0.5082,684.4,293.9,823.0,403.3
2.503,60,car,0.4335,1085.5,155.2,1189.2,237.0
2.503,60,car,0.3568,671.5,191.9,785.1,274.3
2.503,60,car,0.296,1.2,4.1,88.6,100.7
2.503,60,car,0.2877,682.9,293.1,868.9,411.4
2.92,70,car,0.7847,343.4,41.5,451.4,126.1
2.92,70,car,0.5936,520.8,164.6,639.9,261.3
2.92,70,car,0.4648,1162.4,518.5,1266.3,604.5
2.92,70,car,0.399,503.4,52.6,584.0,121.8
2.92,70,car,0.3764,1037.4,545.0,1191.2,654.6
2.92,70,car,0.2759,1085.6,154.7,1189.3,236.7
3.337,80,car,0.7005,573.7,110.8,672.1,192.7
3.337,80,car,0.6278,602.4,250.1,741.4,371.9
3.337,80,car,0.616,1085.4,156.2,1189.4,236.2
3.337,80,car,0.587,350.0,66.8,499.3,148.3
3.337,80,car,0.5752,829.7,286.6,970.1,405.1
3.337,80,car,0.4344,1220.7,206.3,1279.6,262.9
3.337,80,car,0.3296,1101.9,581.3,1192.9,659.2
3.337,80,truck,0.2971,828.9,287.8,970.6,406.2
3.337,80,car,0.2746,1175.6,154.8,1222.7,187.8
3.754,90,car,0.6484,1180.0,202.1,1278.8,290.8
3.754,90,car,0.6318,620.9,249.3,753.1,346.2
3.754,90,car,0.6236,288.7,11.4,403.6,104.3
3.754,90,car,0.5817,1087.7,156.1,1188.5,236.3
3.754,90,car,0.5615,416.2,330.6,537.5,440.5
3.754,90,car,0.3424,1175.5,155.3,1219.9,187.3
3.754,90,car,0.2702,1179.5,526.4,1278.3,607.7
4.171,100,car,0.7837,642.6,187.9,778.7,292.5
4.171,100,car,0.6034,845.6,392.9,1014.9,530.3
4.171,100,car,0.5325,419.9,319.5,545.3,441.0
4.171,100,car,0.5176,1089.3,156.4,1188.5,235.2
4.171,100,car,0.5017,1179.8,201.8,1276.5,290.0
4.171,100,bus,0.4527,399.4,467.3,491.2,623.6
4.171,100,car,0.4263,399.9,467.7,491.8,623.4
4.171,100,car,0.3527,1175.4,154.6,1218.8,186.3
4.588,110,car,0.7401,811.0,298.2,962.8,420.8
4.588,110,car,0.6612,371.1,45.6,466.5,114.6
4.588,110,car,0.6517,253.3,145.2,369.0,252.5
4.588,110,car,0.6058,1088.7,156.3,1188.9,235.2
